,Open,High,Low,Close,Compound_Score,Total Volume of Tweets,Weighted_Price
10343,6543.86,6546.01,6543.86,6546.01,0.1294797315436243,982.0,6544.9927961
10344,6548.28,6548.28,6547.5,6548.28,0.12274029411764695,806.0,6547.6058033
10345,6539.44,6539.45,6538.37,6538.37,0.11786044520547935,705.0,6538.9394095
10346,6534.49,6534.49,6534.49,6534.49,0.11128360655737704,659.0,6534.49
10347,6535.11,6536.66,6535.11,6536.66,0.12314095513748186,811.0,6536.502005100001
10348,6538.29,6541.62,6538.29,6541.62,0.1129224783861674,801.0,6540.105738699999
10349,6536.52,6536.53,6536.52,6536.53,0.033433805031446565,754.0,6536.5210251
10350,6559.32,6562.04,6555.87,6555.87,0.10825924006908462,730.0,6559.612755
10351,6580.58,6581.25,6579.26,6579.26,0.052038265306122426,1205.0,6580.5902564
10352,6582.11,6589.1,6580.27,6584.76,0.19888525641025626,754.0,6585.1173773
10353,6570.32,6570.33,6570.32,6570.33,0.15215893939393926,800.0,6570.324359
10354,6576.09,6576.09,6576.09,6576.09,0.1804567862714508,760.0,6576.09
10355,6566.46,6566.48,6566.46,6566.48,0.07858039492242595,892.0,6566.4792423
10356,6560.65,6560.65,6560.49,6560.49,0.12658614718614708,860.0,6560.5934658
10357,6570.06,6571.33,6570.06,6571.33,0.16230013927576592,856.0,6570.621019
10358,6572.76,6573.58,6572.74,6573.58,0.17112657068062828,918.0,6572.8180596
10359,6566.21,6566.21,6566.2,6566.21,0.1562544966442953,868.0,6566.2028981
10360,6570.19,6570.2,6570.19,6570.2,0.1549611859838274,863.0,6570.1909211
10361,6562.65,6562.65,6562.65,6562.65,0.13607953929539307,906.0,6562.65
10362,6569.01,6569.01,6569.01,6569.01,0.12947944664031605,911.0,6569.01
10363,6562.91,6562.91,6562.9,6562.91,0.1431301470588234,821.0,6562.9096123
10364,6544.99,6544.99,6544.99,6544.99,0.07542728410513147,959.0,6544.99
10365,6547.79,6547.79,6547.79,6547.79,0.14829377916018627,785.0,6547.79
10366,6540.77,6540.78,6540.77,6540.78,0.12562166405023548,741.0,6540.777082199999
10367,6545.51,6545.51,6545.51,6545.51,0.09429948186528488,685.0,6545.51
10368,6547.44,6551.59,6547.44,6551.59,0.085973624288425,620.0,6551.4225129
10369,6553.29,6553.29,6543.41,6551.18,0.09955594795539027,647.0,6549.242004600001
10370,6553.12,6554.09,6552.63,6554.09,0.13676158663883092,559.0,6553.1705776
10371,6533.42,6535.69,6533.42,6533.42,0.09192819383259904,558.0,6535.606909100001
10372,6540.0,6540.0,6539.97,6539.97,0.195675502742231,621.0,6539.970305
10373,6550.01,6551.7,6550.01,6551.7,0.16489431372549015,634.0,6551.1788132
10374,6544.57,6544.57,6544.57,6544.57,0.1404259765624998,638.0,6544.57
10376,6547.93,6547.96,6546.47,6547.96,0.12583319999999992,637.0,6547.8128332
10377,6552.35,6554.75,6551.37,6554.75,0.16443162251655602,742.0,6554.1114907
10378,6553.77,6553.77,6553.77,6553.77,0.1645113761467889,696.0,6553.77
10379,6553.86,6554.59,6553.86,6554.59,0.12467423999999995,779.0,6554.5899721999995
10380,6556.88,6559.61,6556.88,6559.35,0.11747789351851833,990.0,6559.2059983
10381,6536.55,6536.55,6536.55,6536.55,0.20526843575419002,832.0,6536.55
10384,6531.85,6532.89,6530.0,6530.01,0.14980485294117638,801.0,6530.5556104
10385,6512.72,6514.0,6509.0,6513.12,0.1008532139093779,1073.0,6513.2888901999995
10386,6518.07,6518.07,6517.63,6517.63,0.15088686224489806,921.0,6517.8204152
10387,6513.4,6513.4,6510.48,6510.48,0.16326886120996428,701.0,6512.9820918000005
10388,6520.12,6520.12,6520.1,6520.1,0.11616946202531644,773.0,6520.1180165
10389,6517.24,6517.26,6517.24,6517.26,0.11022557755775576,730.0,6517.2467016
10390,6531.76,6531.76,6531.76,6531.76,0.038868429752066114,750.0,6531.76
10391,6522.36,6522.37,6522.36,6522.37,0.04257928221859708,739.0,6522.3609959
10393,6523.63,6524.03,6523.63,6524.03,0.12101507092198575,648.0,6523.7135339
10394,6533.45,6535.09,6533.45,6533.46,0.13450578947368408,677.0,6533.6916568999995
10395,6541.59,6541.59,6534.85,6534.85,0.17607036290322553,591.0,6541.2701256
10396,6531.39,6531.39,6531.38,6531.38,0.1721474766355136,662.0,6531.3809528
10397,6528.06,6528.93,6528.05,6528.93,0.11275304777594715,747.0,6528.0785654
10398,6534.1,6535.51,6534.1,6535.51,0.18727132352941167,803.0,6534.298022
10399,6538.43,6538.43,6538.43,6538.43,0.07680982961992143,929.0,6538.43
10400,6574.15,6578.25,6574.15,6577.76,0.06636965174129347,981.0,6577.549873
10401,6569.05,6569.05,6569.05,6569.05,0.13453484224965684,884.0,6569.05
10402,6558.96,6561.06,6558.95,6560.93,0.143512356687898,928.0,6559.1697486
10403,6558.06,6558.06,6558.06,6558.06,0.12232469733656158,958.0,6558.06
10404,6556.83,6556.84,6556.83,6556.83,0.05967513768686058,1433.0,6556.8338693999995
10405,6557.92,6557.98,6557.92,6557.98,0.07797358490566036,1245.0,6557.9334272
